contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,type
SPY250221C00560000,2025-01-23 14:59:26+00:00,560.0,49.19,50.26,50.39,-1.2600021,-2.4975264,4.0,11823,0.2629468237304688,True,REGULAR,USD,call
SPY250221C00561000,2025-01-22 19:34:37+00:00,561.0,49.18,49.28,49.41,0.0,0.0,1.0,114,0.2594678546142578,True,REGULAR,USD,call
SPY250221C00562000,2025-01-17 20:49:50+00:00,562.0,40.54,48.27,48.4,0.0,0.0,2.0,213,0.2551954364013672,True,REGULAR,USD,call
SPY250221C00563000,2025-01-17 20:50:34+00:00,563.0,39.42,46.76,47.56,0.0,0.0,11.0,103,0.2552869882202149,True,REGULAR,USD,call
SPY250221C00564000,2025-01-21 18:14:48+00:00,564.0,42.19,46.36,46.48,0.0,0.0,1.0,141,0.2491835336303711,True,REGULAR,USD,call
SPY250221C00565000,2025-01-23 15:34:38+00:00,565.0,44.35,45.35,45.48,-0.5699997,-1.2689219,4.0,10359,0.245124736328125,True,REGULAR,USD,call
SPY250221C00566000,2025-01-17 18:59:27+00:00,566.0,37.04,44.39,44.52,0.0,0.0,4.0,120,0.2420424917602539,True,REGULAR,USD,call
SPY250221C00567000,2025-01-22 14:54:10+00:00,567.0,42.53,43.49,43.61,0.0,0.0,1.0,187,0.24018093811035152,True,REGULAR,USD,call
SPY250221C00568000,2025-01-22 19:18:53+00:00,568.0,42.43,42.49,42.61,0.0,0.0,6.0,206,0.23603058898925777,True,REGULAR,USD,call
SPY250221C00569000,2025-01-22 16:38:05+00:00,569.0,41.96,41.56,41.7,0.0,0.0,53.0,140,0.23407748352050778,True,REGULAR,USD,call
SPY250221C00570000,2025-01-22 20:37:01+00:00,570.0,40.8,40.62,40.74,0.29999924,0.74073887,1.0,1113,0.23084265258789063,True,REGULAR,USD,call
SPY250221C00571000,2025-01-22 18:50:02+00:00,571.0,40.07,39.71,39.83,0.0,0.0,1.0,539,0.2287064434814453,True,REGULAR,USD,call
SPY250221C00572000,2025-01-21 18:28:16+00:00,572.0,34.66,38.65,38.77,0.0,0.0,6.0,305,0.22315229980468748,True,REGULAR,USD,call
SPY250221C00573000,2025-01-22 15:03:35+00:00,573.0,37.23,37.77,37.88,0.0,0.0,1.0,249,0.2213822979736328,True,REGULAR,USD,call
SPY250221C00574000,2025-01-22 17:44:01+00:00,574.0,37.05,36.8,36.92,0.0,0.0,52.0,337,0.2180253979492187,True,REGULAR,USD,call
SPY250221C00575000,2025-01-23 16:49:07+00:00,575.0,36.09,35.88,35.99,1.0,2.8498147,6.0,27898,0.21527884338378905,True,REGULAR,USD,call
SPY250221C00576000,2025-01-22 16:33:07+00:00,576.0,35.19,34.88,34.99,0.0,0.0,4.0,544,0.21094539062499998,True,REGULAR,USD,call
SPY250221C00577000,2025-01-23 16:30:00+00:00,577.0,34.17,33.96,34.06,0.25999832,0.76673055,4.0,402,0.20813780151367184,True,REGULAR,USD,call
SPY250221C00578000,2025-01-22 20:48:01+00:00,578.0,32.82,33.14,33.25,0.0,0.0,6.0,795,0.207741076965332,True,REGULAR,USD,call
SPY250221C00579000,2025-01-23 15:25:03+00:00,579.0,30.98,32.09,32.2,-0.7900009,-2.4866254,1.0,880,0.20227848510742186,True,REGULAR,USD,call
SPY250221C00580000,2025-01-23 16:03:12+00:00,580.0,30.7,31.2,31.31,0.060001373,0.19582693,37.0,11504,0.2000812414550781,True,REGULAR,USD,call
SPY250221C00581000,2025-01-22 19:37:33+00:00,581.0,30.3,30.32,30.42,0.0,0.0,9.0,835,0.19779244598388673,True,REGULAR,USD,call
SPY250221C00582000,2025-01-23 15:37:11+00:00,582.0,28.45,29.33,29.43,-0.44999886,-1.5570894,2.0,1318,0.1934589932250977,True,REGULAR,USD,call
SPY250221C00583000,2025-01-23 15:20:42+00:00,583.0,27.31,28.47,28.57,-0.7800007,-2.7767913,3.0,1761,0.19162795684814454,True,REGULAR,USD,call
SPY250221C00584000,2025-01-23 16:30:00+00:00,584.0,27.75,27.58,27.69,-0.12999916,-0.4662811,7.0,1904,0.18930864410400394,True,REGULAR,USD,call
SPY250221C00585000,2025-01-23 16:53:18+00:00,585.0,26.69,26.69,26.78,0.6400013,2.4568188,40.0,12799,0.18631795135498047,True,REGULAR,USD,call
SPY250221C00586000,2025-01-22 20:50:33+00:00,586.0,24.72,25.76,25.86,-0.63000107,-2.4852114,2.0,1613,0.18308312042236324,True,REGULAR,USD,call
SPY250221C00587000,2025-01-23 16:43:12+00:00,587.0,24.94,24.9,25.0,-0.21999931,-0.8744011,8.0,2112,0.1808553594970703,True,REGULAR,USD,call
SPY250221C00588000,2025-01-23 16:48:27+00:00,588.0,24.23,24.09,24.18,-0.069999695,-0.2880646,13.0,4686,0.1792379440307617,True,REGULAR,USD,call
SPY250221C00589000,2025-01-22 17:14:34+00:00,589.0,23.45,23.15,23.23,0.0,0.0,187.0,1559,0.17524018127441404,True,REGULAR,USD,call
SPY250221C00590000,2025-01-23 15:57:12+00:00,590.0,21.77,22.31,22.39,-0.18999863,-0.86520326,55.0,33605,0.17304293762207032,True,REGULAR,USD,call
SPY250221C00591000,2025-01-23 16:19:40+00:00,591.0,21.35,21.46,21.54,0.65999985,3.189946,47.0,2852,0.17057103851318361,True,REGULAR,USD,call
SPY250221C00592000,2025-01-23 14:32:59+00:00,592.0,19.3,20.57,20.65,-0.710001,-3.548231,20.0,3076,0.16733620758056644,True,REGULAR,USD,call
SPY250221C00593000,2025-01-23 14:42:02+00:00,593.0,19.78,19.76,19.84,0.59000015,3.0745187,5.0,2425,0.16529155029296877,True,REGULAR,USD,call
SPY250221C00594000,2025-01-23 16:54:44+00:00,594.0,18.96,18.92,18.99,0.47999954,2.5974002,21.0,2671,0.16248396118164063,True,REGULAR,USD,call
SPY250221C00595000,2025-01-23 16:54:44+00:00,595.0,18.16,18.12,18.19,0.6000004,3.438398,133.0,29897,0.1603477520751953,True,REGULAR,USD,call
SPY250221C00596000,2025-01-23 16:20:37+00:00,596.0,16.98,17.27,17.34,0.1800003,1.0714304,25.0,2634,0.1572655075073242,True,REGULAR,USD,call
SPY250221C00597000,2025-01-23 16:47:20+00:00,597.0,16.59,16.53,16.59,0.5400009,3.364492,60.0,2382,0.15564809204101562,True,REGULAR,USD,call
SPY250221C00598000,2025-01-23 16:45:15+00:00,598.0,15.7,15.74,15.8,0.5,3.2894738,43.0,2727,0.15320671020507814,True,REGULAR,USD,call
SPY250221C00599000,2025-01-23 16:28:25+00:00,599.0,14.96,14.98,15.03,0.52000046,3.6011114,23.0,3379,0.150948432006836,True,REGULAR,USD,call
SPY250221C00600000,2025-01-23 16:50:28+00:00,600.0,14.4,14.23,14.28,0.8299999,6.1164327,220.0,24595,0.14881222290039062,True,REGULAR,USD,call
SPY250221C00601000,2025-01-23 16:53:24+00:00,601.0,13.46,13.47,13.52,0.5500002,4.260265,78.0,1913,0.1463403237915039,True,REGULAR,USD,call
SPY250221C00602000,2025-01-23 16:35:55+00:00,602.0,12.81,12.76,12.81,0.5,4.0617385,56.0,6055,0.14441773559570312,True,REGULAR,USD,call
SPY250221C00603000,2025-01-23 16:51:38+00:00,603.0,11.96,12.04,12.07,0.21000004,1.7872344,65.0,3458,0.14188480194091796,True,REGULAR,USD,call
SPY250221C00604000,2025-01-23 16:51:19+00:00,604.0,11.29,11.35,11.38,0.48999977,4.537035,79.0,7759,0.1398706619262695,True,REGULAR,USD,call
SPY250221C00605000,2025-01-23 16:53:06+00:00,605.0,10.67,10.69,10.71,0.47000027,4.607846,1952.0,18383,0.13794807373046875,True,REGULAR,USD,call
