contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,type,expirationDate,midprice,smoothed_midprice
SPY250221C00533000,2025-01-17 15:16:47+00:00,533.0,67.22,76.78,76.92,0.0,0.0,7.0,325,0.3537051934814452,call,2025-02-21,76.85,77.32886634000991
SPY250221C00534000,2025-01-03 20:30:01+00:00,534.0,62.83,75.76,75.88,0.0,0.0,24.0,332,0.3485172570800781,call,2025-02-21,75.82,76.1889402803777
SPY250221C00535000,2025-01-23 15:39:03+00:00,535.0,73.87,74.87,75.0,-0.4399948,-0.5921072,4.0,201,0.3488224298095703,call,2025-02-21,74.935,75.08367745593236
SPY250221C00536000,2025-01-17 17:59:25+00:00,536.0,66.04,73.83,73.97,0.0,0.0,1.0,204,0.3440007006835937,call,2025-02-21,73.9,74.01061172182584
SPY250221C00537000,2025-01-10 15:11:28+00:00,537.0,48.32,72.74,72.87,0.0,0.0,1.0,103,0.3367375897216796,call,2025-02-21,72.805,72.96624812984102
SPY250221C00538000,2025-01-10 15:11:28+00:00,538.0,47.41,71.84,71.97,0.0,0.0,1.0,105,0.3363103479003906,call,2025-02-21,71.905,71.9446148144186
SPY250221C00539000,2025-01-21 18:06:50+00:00,539.0,66.23,70.95,71.08,0.0,0.0,2.0,25,0.3361272442626953,call,2025-02-21,71.015,70.93858654843166
SPY250221C00540000,2025-01-23 16:44:42+00:00,540.0,70.02,69.84,69.98,-0.3199997,-0.45493278,5.0,995,0.328986202392578,call,2025-02-21,69.91,69.94175164430159
SPY250221C00541000,2025-01-10 15:11:28+00:00,541.0,44.7,68.88,69.01,0.0,0.0,1.0,398,0.3261175787353515,call,2025-02-21,68.945,68.9497452405599
SPY250221C00542000,2025-01-08 19:12:31+00:00,542.0,51.98,67.91,68.04,0.0,0.0,1.0,352,0.3232489550781249,call,2025-02-21,67.975,67.96026747281242
SPY250221C00543000,2025-01-08 19:12:31+00:00,543.0,51.05,66.87,67.0,0.0,0.0,1.0,544,0.3181220532226562,call,2025-02-21,66.935,66.9724929188132
SPY250221C00544000,2025-01-21 19:36:46+00:00,544.0,60.95,65.89,66.03,0.0,0.0,1.0,10,0.3152534295654295,call,2025-02-21,65.96000000000001,65.98626164507311
SPY250221C00545000,2025-01-23 16:44:42+00:00,545.0,65.09,64.96,65.09,5.109997,8.519502,5.0,365,0.3133003240966796,call,2025-02-21,65.025,65.0014814012945
SPY250221C00546000,2025-01-10 15:11:28+00:00,546.0,40.27,63.93,64.06,0.0,0.0,1.0,64,0.308478594970703,call,2025-02-21,63.995000000000005,64.01789444586886
SPY250221C00547000,2025-01-22 14:55:59+00:00,547.0,62.29,62.99,63.12,0.0,0.0,6.0,140,0.3064644549560547,call,2025-02-21,63.055,63.03507331039465
SPY250221C00548000,2025-01-16 20:48:14+00:00,548.0,48.84,61.98,62.11,0.0,0.0,2.0,23,0.3022530712890625,call,2025-02-21,62.045,62.052638301162446
SPY250221C00549000,2025-01-10 16:38:46+00:00,549.0,37.18,61.02,61.15,0.0,0.0,2.0,231,0.2995675512695312,call,2025-02-21,61.085,61.070352262325336
SPY250221C00550000,2025-01-23 15:44:16+00:00,550.0,59.16,59.99,60.12,-0.84000015,-1.4000002,1.0,7569,0.294806856689453,call,2025-02-21,60.055,60.088155400787485
SPY250221C00551000,2025-01-22 20:41:03+00:00,551.0,58.84,59.06,59.19,0.0,0.0,1.0,293,0.2929758203124999,call,2025-02-21,59.125,59.10614367244859
SPY250221C00552000,2025-01-23 15:14:19+00:00,552.0,56.83,58.08,58.21,-1.8099976,-3.086626,2.0,603,0.2896189202880859,call,2025-02-21,58.144999999999996,58.12455263606728
SPY250221C00553000,2025-01-15 20:29:40+00:00,553.0,45.11,57.05,57.18,0.0,0.0,1.0,60,0.2848582257080078,call,2025-02-21,57.114999999999995,57.14366913600092
SPY250221C00554000,2025-01-08 17:31:14+00:00,554.0,38.57,56.08,56.21,0.0,0.0,1.0,30,0.2818064984130859,call,2025-02-21,56.144999999999996,56.16373549676902
SPY250221C00555000,2025-01-23 14:55:01+00:00,555.0,54.19,55.12,55.25,-0.8100014,-1.4727298,2.0,11269,0.2789989093017577,call,2025-02-21,55.185,55.18482163534279
SPY250221C00556000,2025-01-17 14:49:50+00:00,556.0,44.8,54.16,54.28,0.0,0.0,7.0,130,0.2758861474609374,call,2025-02-21,54.22,54.20669823502525
SPY250221C00557000,2025-01-17 19:59:24+00:00,557.0,45.29,53.14,53.27,0.0,0.0,1.0,215,0.2716747637939453,call,2025-02-21,53.205,53.22882231931463
SPY250221C00558000,2025-01-21 17:29:38+00:00,558.0,47.07,52.19,52.31,0.0,0.0,22.0,214,0.2688061401367187,call,2025-02-21,52.25,52.25050036718661
SPY250221C00559000,2025-01-17 20:49:50+00:00,559.0,43.34,51.23,51.36,0.0,0.0,2.0,63,0.2661816546630859,call,2025-02-21,51.295,51.27125596810515
SPY250221C00560000,2025-01-23 14:59:26+00:00,560.0,49.19,50.26,50.39,-1.2600021,-2.4975264,4.0,11823,0.2629468237304688,call,2025-02-21,50.325,50.29126636755369
SPY250221C00561000,2025-01-22 19:34:37+00:00,561.0,49.18,49.28,49.41,0.0,0.0,1.0,114,0.2594678546142578,call,2025-02-21,49.345,49.31165350485098
SPY250221C00562000,2025-01-17 20:49:50+00:00,562.0,40.54,48.27,48.4,0.0,0.0,2.0,213,0.2551954364013672,call,2025-02-21,48.335,48.33431270975603
