Contract,Last,Change,Open,High,Low,Previous,Volume,"Open Int",Time
"CLZ26 (Dec '26)",65.51,0.40000000000001,65.19,65.72,64.49,65.11,19422,75021,"15:58 CT"
"CLV27 (Oct '27)",64.41,0.41999999999999,0,64.41,64.41,63.99,N/A,811,"14:54 CT"
"CLX27 (Nov '27)",64.34,0.41,0,64.34,64.34,63.93,N/A,2104,"15:56 CT"
"CLF28 (Jan '28)",64.16,0.37,0,64.16,64.16,63.79,N/A,1846,"13:46 CT"
"CLG28 (Feb '28)",64.07,0.38,0,64.07,64.07,63.69,N/A,134,"13:46 CT"
"CLH28 (Mar '28)",64,0.38,0,64,64,63.62,N/A,11,"13:46 CT"
"CLJ28 (Apr '28)",63.93,0.37,0,63.93,63.93,63.56,N/A,N/A,"13:46 CT"
"CLK28 (May '28)",63.89,0.36,0,63.89,63.89,63.53,N/A,N/A,"13:46 CT"
"CLM27 (Jun '27)",64.72,0.34999999999999,64.3,64.86,63.88,64.37,1509,21370,"14:23 CT"
"CLM28 (Jun '28)",63.84,0.36000000000001,0,63.84,63.84,63.48,1,2462,"15:56 CT"
"CLN28 (Jul '28)",63.78,0.36,0,63.78,63.78,63.42,N/A,N/A,"13:46 CT"
"CLQ28 (Aug '28)",63.71,0.35,0,63.71,63.71,63.36,N/A,N/A,"13:46 CT"
"CLU28 (Sep '28)",63.66,0.34999999999999,0,63.66,63.66,63.31,N/A,N/A,"13:46 CT"
"CLV28 (Oct '28)",63.61,0.34,0,63.61,63.61,63.27,N/A,900,"13:46 CT"
"CLX28 (Nov '28)",63.55,0.34,0,63.55,63.55,63.21,N/A,2000,"13:46 CT"
"CLZ27 (Dec '27)",64.24,0.35999999999999,64,64.39,63.46,63.88,5394,47088,"15:58 CT"
"CLF29 (Jan '29)",63.39,0.33,0,63.39,63.39,63.06,N/A,200,"13:46 CT"
"CLG29 (Feb '29)",63.32,0.32,0,63.32,63.32,63,N/A,750,"13:46 CT"
"CLH29 (Mar '29)",63.28,0.32,0,63.28,63.28,62.96,N/A,N/A,"13:46 CT"
"CLJ29 (Apr '29)",63.25,0.32,0,63.25,63.25,62.93,N/A,N/A,"13:46 CT"
"CLK29 (May '29)",63.22,0.31,0,63.22,63.22,62.91,N/A,N/A,"13:46 CT"
"CLM29 (Jun '29)",63.19,0.31,0,63.19,63.19,62.88,N/A,996,"13:46 CT"
"CLN29 (Jul '29)",63.14,0.3,0,63.14,63.14,62.84,N/A,N/A,"13:46 CT"
"CLQ29 (Aug '29)",63.09,0.3,0,63.09,63.09,62.79,N/A,N/A,"13:46 CT"
"CLU29 (Sep '29)",63.06,0.29,0,63.06,63.06,62.77,N/A,N/A,"13:46 CT"
"CLV29 (Oct '29)",63.02,0.28,0,63.02,63.02,62.74,N/A,N/A,"13:46 CT"
"CLX29 (Nov '29)",63,0.28,0,63,63,62.72,N/A,N/A,"13:46 CT"
"CLF30 (Jan '30)",62.9,0.27,0,62.9,62.9,62.63,N/A,N/A,"13:46 CT"
"CLZ28 (Dec '28)",63.47,0.31,63,63.53,62.9,63.16,705,15421,"13:53 CT"
"CLG30 (Feb '30)",62.84,0.27,0,62.84,62.84,62.57,N/A,N/A,"13:46 CT"
"CLH30 (Mar '30)",62.81,0.28,0,62.81,62.81,62.53,N/A,50,"13:46 CT"
"CLJ30 (Apr '30)",62.77,0.28,0,62.77,62.77,62.49,N/A,N/A,"13:46 CT"
"CLK30 (May '30)",62.75,0.28,0,62.75,62.75,62.47,N/A,N/A,"13:46 CT"
"CLM30 (Jun '30)",62.72,0.28,0,62.72,62.72,62.44,N/A,51,"13:46 CT"
"CLN30 (Jul '30)",62.68,0.28,0,62.68,62.68,62.4,N/A,N/A,"13:46 CT"
"CLQ30 (Aug '30)",62.61,0.28,0,62.61,62.61,62.33,N/A,N/A,"13:46 CT"
"CLU30 (Sep '30)",62.58,0.28,0,62.58,62.58,62.3,N/A,N/A,"13:46 CT"
"CLV30 (Oct '30)",62.57,0.27,0,62.57,62.57,62.3,N/A,N/A,"13:46 CT"
"CLX30 (Nov '30)",62.54,0.27,0,62.54,62.54,62.27,N/A,N/A,"13:46 CT"
"CLF31 (Jan '31)",62.46,0.27,0,62.46,62.46,62.19,N/A,N/A,"13:46 CT"
"CLZ29 (Dec '29)",62.91,0.21,62.5,62.97,62.46,62.7,113,6171,"13:46 CT"
"CLG31 (Feb '31)",62.4,0.28,0,62.4,62.4,62.12,N/A,N/A,"13:46 CT"
"CLH31 (Mar '31)",62.35,0.28,0,62.35,62.35,62.07,N/A,N/A,"13:46 CT"
"CLJ31 (Apr '31)",62.32,0.28,0,62.32,62.32,62.04,N/A,N/A,"13:46 CT"
"CLK31 (May '31)",62.32,0.29,0,62.32,62.32,62.03,N/A,N/A,"13:46 CT"
"CLM31 (Jun '31)",62.31,0.29,0,62.31,62.31,62.02,N/A,N/A,"13:46 CT"
"CLN31 (Jul '31)",62.27,0.3,0,62.27,62.27,61.97,N/A,4,"13:46 CT"
"CLZ30 (Dec '30)",62.27,-0.01,62.25,62.55,62.25,62.28,18,2688,"13:46 CT"
"CLQ31 (Aug '31)",62.24,0.3,0,62.24,62.24,61.94,N/A,N/A,"13:46 CT"
"CLU31 (Sep '31)",62.24,0.31,0,62.24,62.24,61.93,N/A,N/A,"13:46 CT"
"CLV31 (Oct '31)",62.21,0.31,0,62.21,62.21,61.9,N/A,N/A,"13:46 CT"
"CLX31 (Nov '31)",62.19,0.32,0,62.19,62.19,61.87,N/A,N/A,"13:46 CT"
"CLZ31 (Dec '31)",62.16,0.31999999999999,0,62.16,62.16,61.84,N/A,845,"15:56 CT"
"CLF32 (Jan '32)",62.09,0.32,0,62.09,62.09,61.77,N/A,N/A,"13:46 CT"
"CLG32 (Feb '32)",62.04,0.32,0,62.04,62.04,61.72,N/A,N/A,"13:46 CT"
"CLH32 (Mar '32)",61.98,0.32,0,61.98,61.98,61.66,N/A,N/A,"13:46 CT"
"CLJ32 (Apr '32)",61.94,0.32,0,61.94,61.94,61.62,N/A,N/A,"13:46 CT"
"CLK32 (May '32)",61.91,0.31999999999999,0,61.91,61.91,61.59,N/A,N/A,"13:46 CT"
"CLM32 (Jun '32)",61.9,0.32,0,61.9,61.9,61.58,N/A,N/A,"13:46 CT"
"CLN32 (Jul '32)",61.86,0.32,0,61.86,61.86,61.54,N/A,N/A,"13:46 CT"
"CLQ32 (Aug '32)",61.82,0.32,0,61.82,61.82,61.5,N/A,N/A,"13:46 CT"
"CLU32 (Sep '32)",61.8,0.32,0,61.8,61.8,61.48,N/A,N/A,"13:46 CT"
"CLV32 (Oct '32)",61.76,0.32,0,61.76,61.76,61.44,N/A,N/A,"13:46 CT"
"CLX32 (Nov '32)",61.73,0.32,0,61.73,61.73,61.41,N/A,N/A,"13:46 CT"
"CLZ32 (Dec '32)",61.73,0.32,0,61.73,61.73,61.41,N/A,679,"13:46 CT"
"CLF33 (Jan '33)",61.66,0.31999999999999,0,61.66,61.66,61.34,N/A,N/A,"13:46 CT"
"CLG33 (Feb '33)",61.61,0.32,0,61.61,61.61,61.29,N/A,N/A,"13:46 CT"
"CLH33 (Mar '33)",61.56,0.32,0,61.56,61.56,61.24,N/A,N/A,"13:46 CT"
"CLJ33 (Apr '33)",61.52,0.32,0,61.52,61.52,61.2,N/A,N/A,"13:46 CT"
"CLK33 (May '33)",61.49,0.32,0,61.49,61.49,61.17,N/A,N/A,"13:46 CT"
"CLM33 (Jun '33)",61.47,0.32,0,61.47,61.47,61.15,N/A,N/A,"13:46 CT"
"CLN33 (Jul '33)",61.43,0.32,0,61.43,61.43,61.11,N/A,N/A,"13:46 CT"
"CLQ33 (Aug '33)",61.4,0.32,0,61.4,61.4,61.08,N/A,N/A,"13:46 CT"
"CLU33 (Sep '33)",61.37,0.32,0,61.37,61.37,61.05,N/A,N/A,"13:46 CT"
"CLV33 (Oct '33)",61.33,0.32,0,61.33,61.33,61.01,N/A,N/A,"13:46 CT"
"CLX33 (Nov '33)",61.29,0.32,0,61.29,61.29,60.97,N/A,N/A,"13:46 CT"
"CLZ33 (Dec '33)",61.26,0.32,0,61.26,61.26,60.94,N/A,29,"13:46 CT"
"CLF34 (Jan '34)",61.19,0.32,0,61.19,61.19,60.87,N/A,N/A,"13:46 CT"
"CLG34 (Feb '34)",61.14,0.32,0,61.14,61.14,60.82,N/A,N/A,"13:46 CT"
"CLH34 (Mar '34)",61.1,0.32,0,61.1,61.1,60.78,N/A,N/A,"13:46 CT"
"CLJ34 (Apr '34)",61.06,0.32,0,61.06,61.06,60.74,N/A,N/A,"13:46 CT"
"CLK34 (May '34)",61.03,0.32,0,61.03,61.03,60.71,N/A,N/A,"13:46 CT"
"CLM34 (Jun '34)",61.01,0.32,0,61.01,61.01,60.69,N/A,N/A,"13:46 CT"
"CLN34 (Jul '34)",60.97,0.32,0,60.97,60.97,60.65,N/A,N/A,"13:46 CT"
"CLQ34 (Aug '34)",60.94,0.32,0,60.94,60.94,60.62,N/A,N/A,"13:46 CT"
"CLU34 (Sep '34)",60.9,0.32,0,60.9,60.9,60.58,N/A,N/A,"13:46 CT"
"CLV34 (Oct '34)",60.86,0.32,0,60.86,60.86,60.54,N/A,N/A,"13:46 CT"
"CLX34 (Nov '34)",60.82,0.32,0,60.82,60.82,60.5,N/A,N/A,"13:46 CT"
"CLZ34 (Dec '34)",60.79,0.32,0,60.79,60.79,60.47,N/A,N/A,"13:46 CT"
"CLF35 (Jan '35)",60.72,0.32,0,60.72,60.72,60.4,0,0,"13:46 CT"
"CLG35 (Feb '35)",60.67,0.32,0,60.67,60.67,60.35,N/A,N/A,"13:46 CT"
"CLH35 (Mar '35)",60.62,0.32,0,60.62,60.62,60.3,N/A,N/A,"13:46 CT"
"CLJ35 (Apr '35)",60.59,0.32,0,60.59,60.59,60.27,N/A,N/A,"13:46 CT"
"CLK35 (May '35)",60.57,0.32,0,60.57,60.57,60.25,N/A,N/A,"13:46 CT"
"CLM35 (Jun '35)",60.55,0.32,0,60.55,60.55,60.23,N/A,N/A,"13:46 CT"
"CLN35 (Jul '35)",60.5,0.32,0,60.5,60.5,60.18,N/A,N/A,"13:46 CT"
"CLQ35 (Aug '35)",60.46,0.32,0,60.46,60.46,60.14,N/A,N/A,"13:46 CT"
"CLU35 (Sep '35)",60.42,0.32,0,60.42,60.42,60.1,N/A,N/A,"13:46 CT"
"CLV35 (Oct '35)",60.39,0.32,0,60.39,60.39,60.07,N/A,N/A,"13:46 CT"
"CLX35 (Nov '35)",60.37,0.32,0,60.37,60.37,60.05,N/A,N/A,"13:46 CT"
"CLZ35 (Dec '35)",60.34,0.32,0,60.34,60.34,60.02,N/A,N/A,"13:46 CT"
"CLF36 (Jan '36)",60.27,0.32,0,60.27,60.27,59.95,N/A,N/A,"13:46 CT"
"CLG36 (Feb '36)",60.21,0.32,0,60.21,60.21,59.89,N/A,N/A,"13:46 CT"
"Downloaded from Barchart.com as of 02-04-2025 04:11pm CST"
